Department,District,Block
"Dharwad - Office of the Deputy Director, Department of Animal Husbandry and Veterinary Services",Dharwad,Not Applicable
"Dharwad - Office of the Deputy Director, Department of Horticulture",Dharwad,Not Applicable
"Dharwad- Office of The Deputy Director, Department of Public Instruction",Dharwad,Not Applicable
"Dharwad - Office of the Deputy Director, Department of Sericulture",Dharwad,Not Applicable
"Dharwad - Office of the Deputy Director, Department of Social Welfare",Dharwad,Not Applicable
"Dharwad - Office of the Deputy Director, Department of Women and Child Development",Dharwad,Not Applicable
"Dharwad - Office of the Deputy Director, District Treasury",Dharwad,Not Applicable
Dharwad-Office of the Deputy Police Commissioner,Dharwad,Not Applicable
Dharwad - Office of The District Health and Family Welfare Officer,Dharwad,Not Applicable
"Dharwad- Office of The District Officer, Backward Classes Welfare Department",Dharwad,Not Applicable
"Dharwad - Office of The District Skill Development Officer, Skill Development Department",Dharwad,Not Applicable
Dharwad- Office of the District Statistical Officer,Dharwad,Not Applicable
"Dharwad - Office of the Joint Director, Department of Agriculture",Dharwad,Not Applicable
"Dharwad - Office of The Joint Director, District Industrial Centre, Dept of Industries & Commerce",Dharwad,Not Applicable
"Dharwad - Office of the Senior Geologist, Department of Mines and Geology",Dharwad,Not Applicable
Dharwad- Office of The Superintendent of Police,Dharwad,Not Applicable
Dharwad-Public Works Department - PWD,Dharwad,Not Applicable
Dharwad Regional Science Centre,NA,Not Applicable
Dharwad-REVENUE,Dharwad,Not Applicable
Dharwad-Rural Development and Panchayat Raj - RDPR(Z.P),Dharwad,NA
Dharwad-Urban Development Cell - DUDC,Dharwad,Not Applicable
Dharwad - Water and Land Management Institution (WALMI),Dharwad,Not Applicable
Directorate of Ayush,NA,Not Applicable
Directorate of Child Protection,NA,Not Applicable
Directorate Of Command Area Development Authorities (CADA),NA,Not Applicable
Directorate of Economics and Statistics,NA,Not Applicable
Directorate of eITBT and S&T,NA,Not Applicable
Directorate of Empowerment of Differently Abled and Senior Citizens,NA,Not Applicable
Directorate of E.S.I.S. Medical Services,NA,Not Applicable
Directorate Of Fisheries,NA,Not Applicable
Directorate of Groundwater,NA,Not Applicable
Directorate Of Horticulture Department,NA,Not Applicable
Directorate of Industries and commerce,NA,Not Applicable
Directorate Of Minorities,NA,Not Applicable
Directorate of Municipal Administration,NA,Not Applicable
Directorate of Pension Small Savings and Asset Liability Monitoring,NA,Not Applicable
Directorate of sainik Welfare and Resettlement,NA,Not Applicable
Directorate of Tourism Department,NA,Not Applicable
Directorate of Town and Country Planning,NA,Not Applicable
Directorate of Translations,NA,Not Applicable
Directorate of Women and Child Development,NA,Not Applicable
"Director General of Police, CID, Special Units & Economic Offences, Bengaluru.",NA,Not Applicable
"Director General of Police, Recruitment Office",NA,Not Applicable
"District Consumer Disputes and Redressal Commission, Dharwad",NA,Not Applicable
"District Police office, Karnataka State Railway Police, K.S.R Railway Station",NA,Not Applicable
Dr. B.R Ambedkar Research Institute,NA,Not Applicable
Dr. H. Narasimhaiah Sub-Regional Science Centre,Bengaluru Urban,Not Applicable
Environmental Management and Policy Research Institute,NA,Not Applicable
Fiscal Policy Institute,NA,Not Applicable
Forest Ecology and Environment dept - Karnataka Biodiversity Board,NA,Not Applicable
Gadag-Betigeri-Rural Development and Panchayat Raj - RDPR(T.P),Gadag,Betigeri
Gadag-Deputy Director of Land Records-DDLR,Gadag,Not Applicable
Gadag-District Consumer disputes Redressal commission,Gadag,Not Applicable
Gadag - District Institute for Education and Training (DIET),Gadag,Not Applicable
Gadag-District Registrar - DR,Gadag,Not Applicable
Gadag - District Training Institute,Gadag,Not Applicable
Gadag-Food and Civil Supplies - FCS,Gadag,Not Applicable
Gadag- Gadag Institute of Medical Sciences,Gadag,Not Applicable
Gadag-Gadag-Rural Development and Panchayat Raj - RDPR(T.P),Gadag,Gadag
Gadag-Gajendragad-Rural Development and Panchayat Raj - RDPR(T.P),Gadag,Gajendragad
Gadag-LABOUR,Gadag,Not Applicable
Gadag-Lakshmeshwar-Rural Development and Panchayat Raj - RDPR(T.P),Gadag,Lakshmeshwar
Gadag-Mundargi-Rural Development and Panchayat Raj - RDPR(T.P),Gadag,Mundargi
Gadag-Nargund-Rural Development and Panchayat Raj - RDPR(T.P),Gadag,Nargund
"Gadag-Office of The Assistant Director, Agricultural Marketing Department",Gadag,Not Applicable
"Gadag - Office of The Assistant Director, Department of Information and Public Relations",Gadag,Not Applicable
"Gadag - Office of the Assistant Director, Department of Youth Empowerment and Sports",Gadag,Not Applicable
"Gadag- Office of The Assistant Executive Engineer, Karnataka Slum Development Board",Gadag,Not Applicable
"Gadag- Office of The Chief Librarian, District Central Library, Department of Public Library",Gadag,Not Applicable
"Gadag - Office of The Deputy Commissioner, Department of Excise",Gadag,Not Applicable
"Gadag - Office of The Deputy Director, Department of Animal Husbandry and Veterinary Services",Gadag,Not Applicable
"Gadag - Office of the Deputy Director, Department of Handlooms and Textiles",Gadag,Not Applicable
"Gadag - Office of The Deputy Director, Department of Pre University Education",Gadag,Not Applicable
"Gadag- Office of The Deputy Director, Department of Public Instruction",Gadag,Not Applicable
"Gadag - Office of the Deputy Director, Department of Women and Child Development",Gadag,Not Applicable
"Gadag - Office of The Deputy Director, District Treasury",Gadag,Not Applicable
Gadag - Office of The District Health and Family Welfare Officer,Gadag,Not Applicable
"Gadag - Office of the District Office, Department of Backward Classes Welfare",Gadag,Not Applicable
"Gadag - Office of The District officer, Minority Welfare Department",Gadag,Not Applicable
"Gadag - Office of The District Skill Development Officer, Skill Development Department",Gadag,Not Applicable
"Gadag - Office of The Drug Control Officer, Deparment of Drugs Control",Gadag,Not Applicable
"Gadag- Office of The Executive Engineer ,Karnataka Urban Water Supply and Drainage Board",Gadag,Not Applicable
"Gadag - Office of the Joint Director, Department of Agriculture",Gadag,Not Applicable
"Gadag - Office of The Joint Director, District Industrial Centre, Dept of Industries and Commerce",Gadag,Not Applicable
"Gadag - Office of The Registrar of Co-operative Societies, Department of Co-operation",Gadag,Not Applicable
"Gadag - Office of the Senior Geologist, Department of Mines and Geology",Gadag,Not Applicable
Gadag- Office of The Superintendent of Police,Gadag,Not Applicable
Gadag-Public Works Department - PWD,Gadag,Not Applicable
"Gadag - Regional Office, Karnataka State Pollution Control Board",Gadag,Not Applicable
Gadag-REVENUE,Gadag,Not Applicable
Gadag-Rona-Rural Development and Panchayat Raj - RDPR(T.P),Gadag,Rona
Gadag-Rural Development and Panchayat Raj - RDPR(Z.P),Gadag,NA
Gadag-Shirhatti-Rural Development and Panchayat Raj - RDPR(T.P),Gadag,Shirhatti
Gadag-Urban Development Cell - DUDC,Gadag,Not Applicable
Government Tool Room & Training Centre,State Level / Not Applicable,Not Applicable
Gulbarga Electricity Supply Company Limited (GESCOM),GESCOM,Not Applicable
Hampi World Heritage Area Management Authority,State Level / Not Applicable,Not Applicable
Hassan-Alur-Rural Development and Panchayat Raj - RDPR(T.P),Hassan,Alur
Hassan-Arkalgud-Rural Development and Panchayat Raj - RDPR(T.P),Hassan,Arkalgud
Hassan-Arsikere-Rural Development and Panchayat Raj - RDPR(T.P),Hassan,Arsikere
Hassan-Belur-Rural Development and Panchayat Raj - RDPR(T.P),Hassan,Belur
Hassan-Channarayapattana-Rural Development and Panchayat Raj - RDPR(T.P),Hassan,Channarayapattana
Hassan - Department Of Handlooms And Textiles,Hassan,Not Applicable
Hassan-Deputy Director of Land Records-DDLR,Hassan,Not Applicable
Hassan - District Consumer Disputes Redressal Commission,Hassan,Not Applicable
Hassan - District Health And Family Welfare Office,Hassan,Not Applicable
Hassan - District Institute for Education and Training (DIET),Hassan,Not Applicable
Hassan-District Registrar - DR,Hassan,Not Applicable
Hassan - District Training Institute,Hassan,Not Applicable
Hassan-Food and Civil Supplies - FCS,Hassan,Not Applicable
Hassan - Hassan Institute Of Medical Sciences,Hassan,Not Applicable
Hassan-Hassan-Rural Development and Panchayat Raj - RDPR(T.P),Hassan,Hassan
Hassan-Holenarsipur-Rural Development and Panchayat Raj - RDPR(T.P),Hassan,Holenarsipur
Hassan - Industrial Training And Employment Office,Hassan,Not Applicable
Hassan - Karnataka Maharshi Valmiki Scheduled Tribes Development Corporation Ltd,Hassan,Not Applicable
Hassan - Karnataka State Khadi And Village Industries Board,Hassan,Not Applicable
Hassan - Karnataka State Pollution Control Board,Hassan,Not Applicable
Hassan-LABOUR,Hassan,Not Applicable
Hassan Mangalore Rail development Company Limited,NA,Not Applicable
Hassan - office of deputy director department of social welfare,Hassan,Not Applicable
"Hassan - Office of the assistant director, Kannada And Cultural Depart",Hassan,Not Applicable
"Hassan- Office of The Chief Engineer (Electricity),Transmission zone, KPTCL",Hassan,Not Applicable
"Hassan - Office of the Deputy director, Department Of Agriculture Mark",Hassan,Not Applicable
"Hassan- Office of The Deputy Director, Department of Public Instruction",Hassan,Not Applicable
"Hassan - Office of the Deputy Director, Department of School Education(Pre University)",Hassan,Not Applicable
"Hassan-Office of the Deputy Director, Department of Women and Child Development",Hassan,Not Applicable
"Hassan- Office of the Deputy Director, Dept of Animal Husbandry and Veterinary Services",Hassan,Not Applicable
"Hassan - Office of the Deputy Director, District Treasury",Hassan,Not Applicable
"Hassan- Office of The District Officer, Backward Classes Welfare Department",Hassan,Not Applicable
"Hassan - Office of The District officer, Minority Welfare Department",Hassan,Not Applicable
"Hassan - Office of The District Skill Development Officer, Skill Development Department",Hassan,Not Applicable
Hassan-Office Of The District Statistical Officer,Hassan,Not Applicable
"Hassan - Office of the executive engineer, Karnataka Urban Water Supply",Hassan,Not Applicable
Hassan-Office Of The Executive Engineer Minor Irrigation And Ground Water Development Division,Hassan,Not Applicable
"Hassan - Office of the Joint Director, Department of Agriculture",Hassan,Not Applicable
"Hassan- Office of The Joint Director, District Industiral Centre",Hassan,Not Applicable
"Hassan -Office of the senior assistant director, Department Of Inform",Hassan,Not Applicable
Hassan- Office of The Superintendent of Police,Hassan,Not Applicable
Hassan-Public Works Department - PWD,Hassan,Not Applicable
Hassan-REVENUE,Hassan,Not Applicable
Hassan-Rural Development and Panchayat Raj - RDPR(Z.P),Hassan,NA
Hassan-Sakleshpur-Rural Development and Panchayat Raj - RDPR(T.P),Hassan,Sakleshpur
Hassan - Urban Development Authority,Hassan,Not Applicable
Hassan- Urban Development Cell - DUDC,Hassan,Not Applicable
Haveri-Byadgi-Rural Development and Panchayat Raj-RDPR(T.P),Haveri,Byadgi
Haveri-Deputy Director of Land Records-DDLR,Haveri,Not Applicable
Haveri - District Consumer Disputes Redressal Commission,Haveri,Not Applicable
Haveri-District Registrar - DR,Haveri,Not Applicable
Haveri - District Training Institute,Haveri,Not Applicable
Haveri-Food and Civil Supplies - FCS,Haveri,Not Applicable
Haveri-Hangal-Rural Development and Panchayat Raj - RDPR(T.P),Haveri,Hangal
Haveri - Haveri Institute of Medical Sciences,Haveri,Not Applicable
Haveri-Haveri-Rural Development and Panchayat Raj - RDPR(T.P),Haveri,Haveri
Haveri-Hirekerur-Rural Development and Panchayat Raj - RDPR(T.P),Haveri,Hirekerur
Haveri - Karnataka Maharshi Valmiki Scheduled Tribes Development Corporation Ltd,Haveri,Not Applicable
Haveri-LABOUR,Haveri,Not Applicable
"Haveri -Office of The Assistant Director, Department of Agricultural Marketing",Haveri,Not Applicable
Haveri- Office of The Assistant Director Department of Tourism,Haveri,Not Applicable
"Haveri- Office of The Assistant Director, Department of Youth Empowerment and Sports",Haveri,Not Applicable
"Haveri- Office of The Chief Librarian, District Central Library, Deparment of Public Library",Haveri,Not Applicable
"Haveri- Office of The Deputy Commissioner, Department of Excise",Haveri,Not Applicable
"Haveri- Office of The Deputy Director, Department of Handlooms and Textiles",Haveri,Not Applicable
"Haveri - Office of the Deputy Director, Department of Women and Child Welfare",Haveri,Not Applicable
"Haveri - Office of the Deputy Director, District Treasury",Haveri,Not Applicable
"Haveri-Office of The Deputy Director, Fisheries Department",Haveri,Not Applicable
Haveri-Office of the Deputy Director of Public Instruction,Haveri,Not Applicable
"Haveri- Office of the District Differently Abled Welfare officer, Department for The Empowerment of",Haveri,Not Applicable
Haveri- Office of The District Health and Family Welfare Officer,Haveri,Not Applicable
"Haveri- Office of The District Officer, Backward Class Welfare Department",Haveri,Not Applicable
"Haveri- Office of The District Officer, Minority Welfare Department",Haveri,Not Applicable
"Haveri - Office of The District Skill Development Officer, Skill Development Department",Haveri,Not Applicable
"Haveri - Office of The District Surgeon, District Hospital",Haveri,Not Applicable
"Haveri-Office of the Joint Director, Department of Agriculture",Haveri,Not Applicable
"Haveri - Office of The Joint Director, Department of Horticulture",Haveri,Not Applicable
"Haveri - Office of The Joint Director, District Industrial Centre, Dept of Industries and Commerce",Haveri,Not Applicable
Haveri- Office of The Superintendent of Police,Haveri,Not Applicable
Haveri-Public Works Department - PWD,Haveri,Not Applicable
Haveri-Ranibennur-Rural Development and Panchayat Raj - RDPR(T.P),Haveri,Ranibennur
Haveri-Rattihalli-Rural Development and Panchayat Raj - RDPR(T.P),Haveri,Rattihalli
Haveri-REVENUE,Haveri,Not Applicable
Haveri-Rural Development and Panchayat Raj - RDPR(Z.P),Haveri,NA
Haveri-Savanur-Rural Development and Panchayat Raj - RDPR(T.P),Haveri,Savanur
Haveri-Shiggaon-Rural Development and Panchayat Raj - RDPR(T.P),Haveri,Shiggaon
Haveri-Urban Development Cell - DUDC,Haveri,Not Applicable
"HESCOM - Corporate Office, Hubballi",NA,Not Applicable
"HESCOM - O & M Circle, Bagalkot (Bagalkot dist)",Bagalkot,Not Applicable
"HESCOM-O&M Circle, Belagavi(Belagavi,Bailahongal,Gokak,Khanapur,Kittur,Mudalagi,Ramdurg,Soudatti)",Belagavi,Not Applicable
"HESCOM - O & M Circle, Chikkodi ( Chikkodi,Athani,Raibag,Nippani,Kagawad)",Chikkodi,Not Applicable
"HESCOM - O & M Circle, Gadag ( Gadag dist)",Gadag,Not Applicable
"HESCOM - O & M Circle, Haveri (Haveri dist)",Haveri,Not Applicable
"HESCOM - O & M Circle, Hubballi (Dharwad dist)",Hubballi,Not Applicable
"HESCOM - O & M Circle, Sirsi (Uttarakannada)",sirsi,Not Applicable
"HESCOM - O & M Circle, Vijayapura (Vijayapura dist)",vijayapura,Not Applicable
"HESCOM- Vigilance (Dharwad,Gadag,Haveri,Uttara kannada,Belagavi,Vijayapur & Bagalkot)",NA,Not Applicable
High Court of Karnataka,NA,Not Applicable
"High Court of Karnataka Dharwad Bench, HCK",NA,Not Applicable
"High Court of Karnataka Kalaburagi Bench, HCK",NA,Not Applicable
Home Guards and Civil Defence Department,NA,Not Applicable
Hospete - Urban Development Authority,Hospete,Not Applicable
"Hubbali - Office of the Deputy Director, District Treasury",Hubbali,Not Applicable
Hubballi Dharwad - Urban Development Authority,Hubballi Dharwad,Not Applicable
Ilkal Town Planning Authority,NA,Not Applicable
Indira Gandhi Centre for Career Development,NA,Not Applicable
Indira Gandhi Institute Of Child Health,NA,Not Applicable
"Inspector General Of Police, Water Resources Dept, Vigilence",NA,Not Applicable
Jawaharlal Nehru Planetarium,NA,Not Applicable
"Joint Director, State Huzur Treasury Office, Bengaluru",NA,Not Applicable
Jungle Lodges and Resorts limited,NA,Not Applicable
Kalaburagi-Afzalpur-Rural Development and Panchayat Raj-RDPR(T.P),Kalaburagi,Afzalpur
Kalaburagi-Aland-Rural Development and Panchayat Raj-RDPR(T.P),Kalaburagi,Aland
Kalaburagi-Chincholi-Rural Development and Panchayat Raj-RDPR(T.P),Kalaburagi,Chincholi
Kalaburagi-Chitapur-Rural Development and Panchayat Raj-RDPR(T.P),Kalaburagi,Chitapur
Kalaburagi-City Corporation,Kalaburagi,Not Applicable
"Kalaburagi - Command Area Development Authorities (CADA) ,Irrigation",Kalaburagi,Not Applicable
Kalaburagi-Department of Electrical Inspectorate,Kalaburagi,Not Applicable
Kalaburagi-Deputy Director of Land Records-DDLR,Kalaburagi,Not Applicable
Kalaburagi- District Consumer Disputes Redressal commission,Kalaburagi,Not Applicable
Kalaburagi - District Training Institute,Kalaburagi,Not Applicable
Kalaburagi- Dr.B.R.Ambedkar Development Corporation Limited,Kalaburagi,Not Applicable
Kalaburagi-Food and Civil Supplies - FCS,Kalaburagi,Not Applicable
Kalaburagi- Gulbarga Insititue of Medical Science,Kalaburagi,Not Applicable
Kalaburagi-Jevargi-Rural Development and Panchayat Raj-RDPR(T.P),Kalaburagi,Jevargi
"Kalaburagi - Joint Director of Town and Country Planning, Divisional Office",Kalaburagi,Not Applicable
Kalaburagi-Kalaburagi-Rural Development and Panchayat Raj - RDPR(T.P),Kalaburagi,Kalaburagi
Kalaburagi-Kalagi-Rural Development and Panchayat Raj-RDPR(T.P),Kalaburagi,Kalagi
Kalaburagi- Karnataka Rural Infrastructure Development Limited,Kalaburagi,Not Applicable
Kalaburagi-LABOUR,Kalaburagi,Not Applicable
"Kalaburagi -Office of The Assistant Director, Department of Agricultural Marketing",Kalaburagi,Not Applicable
"Kalaburagi - Office of The Assistant Director, Department of Town and Country Planning",Kalaburagi,Not Applicable
"Kalaburagi- Office of The Assistant Executive Engineer, Karnataka Slum Development Board",Kalaburagi,Not Applicable
"Kalaburagi- Office of The Chief Engineer (Electricity),Transmission zone, KPTCL",Kalaburagi,Not Applicable
"Kalaburagi- Office of The Deputy Director, Department of Animal Husbandry and Veterinary Services",Kalaburagi,Not Applicable
"Kalaburagi- Office of the Deputy Director, Department of Archeology, Museums and Heritage",Kalaburagi,Not Applicable
"Kalaburagi- Office of The Deputy Director, Department of Horticulture",Kalaburagi,Not Applicable
"Kalaburagi- Office of The Deputy Director, Department of Mines and Geology",Kalaburagi,Not Applicable
"Kalaburagi- Office of The Deputy Director, Department of Pre University Education",Kalaburagi,Not Applicable
"Kalaburagi- Office of the Deputy Director, Department of Women and Child Development",Kalaburagi,Not Applicable
"Kalaburagi - Office of the Deputy Director, District Treasury",Kalaburagi,Not Applicable
"Kalaburagi-Office of the Deputy Director, Regional Forensic Science laboratory",Kalaburagi,Not Applicable
"Kalaburagi- Office of The District Commandant , Home Gaurds Department",Kalaburagi,Not Applicable
"Kalaburagi - Office of the District Office, Department of Backward Classes Welfare",Kalaburagi,Not Applicable
"Kalaburagi - Office of The District Skill Development Officer, Skill Development Department",Kalaburagi,Not Applicable
"Kalaburagi- Office of The District Statistical Officer, Department of Statistics",Kalaburagi,Not Applicable
"Kalaburagi- Office of The Joint Commissioner, Commercial Taxes Department",Kalaburagi,Not Applicable
"Kalaburagi- Office of The Joint Director,District Industrial Centre, Dept of Industries and Commerce",Kalaburagi,Not Applicable
Kalaburagi-Office of the Joint Registrar of Cooperative Societies,Kalaburagi,Not Applicable
"Kalaburagi- Office of The Regional Joint Director, Department of Collegiate Education",Kalaburagi,Not Applicable
Kalaburagi- Office of The Superintendent of Police,Kalaburagi,Not Applicable
Kalaburagi-Public Works Department - PWD,Kalaburagi,Not Applicable
"Kalaburagi- Regional Office, Karnataka State Pollution Control Board",Kalaburagi,Not Applicable
Kalaburagi-REVENUE,Kalaburagi,Not Applicable
Kalaburagi-Rural Development and Panchayat Raj - RDPR(Z.P),Kalaburagi,NA
Kalaburagi-Sedam-Rural Development and Panchayat Raj-RDPR(T.P),Kalaburagi,Sedam
Kalaburagi-Shahbad-Rural Development and Panchayat Raj-RDPR(T.P),Kalaburagi,Shahbad
"Kalaburagi- Superintending Engineer, Department of Minor Irrigation and Groundwater Development",Kalaburagi,Not Applicable
Kalaburagi-Urban Development Cell - DUDC,Kalaburagi,Not Applicable
Kalaburagi-Yedrami-Rural Development and Panchayat Raj-RDPR(T.P),Kalaburagi,Yedrami
Kalaburgi-District Registrar - DR,Kalaburgi,Not Applicable
Kalaburgi- Karnataka Urban Water Supply and Sewage Board,Kalaburgi,Not Applicable
"Kalaburgi- Office of the Joint Director, Department of Agriculture",Kalaburgi,Not Applicable
Kalyana Karnataka Region Development Board(KKRDB),NA,Not Applicable
Kalyana Karnataka Road Transport Corporation(KKRTC),NA,Not Applicable
Kannada Development Authority,NA,Not Applicable
"Kannada University, Hampi",NA,Not Applicable
Kapu Planning Authority,NA,Not Applicable
Karnataka Aadijambava development corporation,NA,Not Applicable
Karnataka Arya Vysya Community Development Corporation (KACDC),NA,Not Applicable
Karnataka Bhovi Development Corporation,NA,Not Applicable
Karnataka Board of Homeopathic System of Medicine,NA,Not Applicable
Karnataka Border Area Development Authority,NA,Not Applicable
Karnataka Building And Other Construction Workers Welfare Board,NA,Not Applicable
Karnataka Council for Technological Upgradation,NA,Not Applicable
Karnataka Electricity Regulatory Commission,NA,Not Applicable
Karnataka Examinations Authority,NA,Not Applicable
Karnataka Exhibition Authority,NA,Not Applicable
Karnataka Folklore University,NA,Not Applicable
Karnataka Government Insurance Department,NA,Not Applicable
Karnataka Government Secretariat Training Institute (KGSTI),NA,Not Applicable
Karnataka Housing Board,NA,Not Applicable
Karnataka Industrial Areas Development Board (KIADB),NA,Not Applicable
Karnataka Information Commission,NA,Not Applicable
Karnataka Innovation and Technology Society (KITS),NA,Not Applicable
KARNATAKA INSTITUTE FOR LAW AND PARLIAMENTARY REFORM,NA,Not Applicable
Karnataka Institute of Endocrinology and Research,NA,Not Applicable
Karnataka Institute of Leather and Fashion Technology,NA,Not Applicable
"Karnataka Judicial Academy, HCK",NA,Not Applicable
Karnataka Legislative Assembly Secretariat,NA,Not Applicable
Karnataka Legislative Council Secretariat,NA,Not Applicable
Karnataka Lokayukta,NA,Not Applicable
Karnataka Lokayukta Police,NA,Not Applicable
Karnataka Maharshi Valmiki Scheduled Tribes Development Corporation Ltd,NA,Not Applicable
"Karnataka Maratha communities Development Corporation Ltd, Bengaluru",NA,Not Applicable
Karnataka Mining Environment Restoration Corporation,NA,Not Applicable
Karnataka Minorities Development Corporation Ltd,NA,Not Applicable
Karnataka Power Corporation Limited,NA,Not Applicable
Karnataka Power Transmission Corporation Limited-KPTCL,NA,Not Applicable
Karnataka Prisons and Correctional Services,NA,Not Applicable
Karnataka Public Lands Corporation Limited,NA,Not Applicable
Karnataka Public Service Commission,NA,Not Applicable
Karnataka Real Estate Regulatory Authority,NA,Not Applicable
Karnataka Renewable Energy Development limited,NA,Not Applicable
Karnataka Residential Educational Institutions Society,NA,Not Applicable
Karnataka Samskrit University,NA,Not Applicable
Karnataka School Examination and Assessment Board,NA,Not Applicable
"Karnataka School Examination and Assessment Board,Belagavi Division",NA,Not Applicable
Karnataka Science And Technology Academy,NA,Not Applicable
Karnataka science and Technology Promotion Society,NA,Not Applicable
Karnataka Skill Development Corporation,NA,Not Applicable
Karnataka Slum Development Board,NA,Not Applicable
Karnataka Soaps and Detergents Limited,NA,Not Applicable
"Karnataka State Administrative Tribunal-Belagavi Bench, Belagavi",NA,Not Applicable
"Karnataka State Administrative Tribunal-Kalaburagi Bench, Kalaburagi",NA,Not Applicable
"Karnataka State Administrative Tribunal-Principal Bench, Bengaluru",NA,Not Applicable
Karnataka State Agricultural Produce Processing & Export Corporation L,NA,Not Applicable
"Karnataka State Akkamahadevi Women University, Vijayapura",NA,Not Applicable
Karnataka State Archives Department,NA,Not Applicable
Karnataka State Audit And Accounts Department,NA,Not Applicable
Karnataka State Beverages Corporation Limited,NA,Not Applicable
Karnataka State Board of AUQAF,NA,Not Applicable
Karnataka State Coir Co-Operative Federation Ltd. Bangalore,NA,Not Applicable
Karnataka State Commission For Backward Classes,NA,Not Applicable
Karnataka State Commission For Protection of Child Rights,NA,Not Applicable
Karnataka State Commission for Safai Karmacharis,NA,Not Applicable
Karnataka State Commission for scheduled castes And Scheduled Tribes,NA,Not Applicable
Karnataka State Construction Corporation Ltd,NA,Not Applicable
Karnataka State Consumer Disputes Redressal Commission,NA,Not Applicable
Karnataka State Consumer Disputes Redressal Commission permanent Circuit Bench Kalaburagi,NA,Not Applicable
Karnataka State Council for Science and Technology,NA,Not Applicable
Karnataka State Dr. Gangubhai Hanagal Music and Performing University Mysuru,NA,Not Applicable
Karnataka State Drug Control Department,NA,Not Applicable
Karnataka State Electronics Development Corporation Limited (KEONICS),NA,Not Applicable
Karnataka State Fire and Emergency Services,NA,Not Applicable
Karnataka State Handicrafts Development Corporation Limited,NA,Not Applicable
Karnataka State Higher Education council,NA,Not Applicable
Karnataka State Human rights commission,NA,Not Applicable
Karnataka State Industrial and Infrastructure Development Corporation Limited,NA,Not Applicable
Karnataka State Khadi And Village Industries Board,NA,Not Applicable
Karnataka State Law University Hubballi,NA,Not Applicable
Karnataka State Minerals Corporation Ltd,NA,Not Applicable
Karnataka State Natural Disaster Monitoring Centre,NA,Not Applicable
Karnataka State Open University,NA,Not Applicable
Karnataka state police housing and infrastructure development corporation limited,NA,Not Applicable
Karnataka State pollution Control Board,NA,Not Applicable
Karnataka State Remote Sensing Applications Centre,NA,Not Applicable
Karnataka State Road Transport Corporation(KSRTC),NA,Not Applicable
Karnataka State Rural Livelihood Promotion Society,NA,Not Applicable
Karnataka State Safai Karmachari Development Corporation,NA,Not Applicable
Karnataka State Seed And Organic Certification Agency,NA,Not Applicable
Karnataka State Seeds Corporation Ltd,NA,Not Applicable
Karnataka State Teachers Benefit Fund,NA,Not Applicable
Karnataka State Temperance Board,NA,Not Applicable
Karnataka State Textile Infrastructure Development Corporation Limited,NA,Not Applicable
Karnataka State Tourism Development Corporation Ltd.,NA,Not Applicable
Karnataka State Unorganised Workers Social Security Board,NA,Not Applicable
Karnataka Tank Conservation and Development Authority,NA,Not Applicable
Karnataka Text Book Society,NA,Not Applicable
Karnataka Thanda Development Corporation Limited,NA,Not Applicable
Karnataka Udyoga Mitra,NA,Not Applicable
Karnataka Uppara Development Corporation LTD,NA,Not Applicable
Karnataka Urdu Academy,NA,Not Applicable
Karnataka Vidyuth Karkhane Limited,NA,Not Applicable
Karnataka Vishwakarma Communities Development Corporation Ltd,NA,Not Applicable
Karnataka Vokkaliga Community Development Corporation Limited,NA,Not Applicable
Karntaka State Womens Development Corporation,NA,Not Applicable
K.G.F - Urban Development Authority,NA,Not Applicable
Kidwai Memorial Institute of Oncology,NA,Not Applicable
Kodagu-Deputy Director of Land Records-DDLR,Kodagu,Not Applicable
Kodagu - District Consumer Disputes Redressal Commission,Kodagu,Not Applicable
Kodagu - District Institute for Education and Training (DIET),Kodagu,Not Applicable
Kodagu-District Registrar - DR,Kodagu,Not Applicable
"Kodagu - District Training Institute, Madikere",Kodagu,Not Applicable
Kodagu-Food and Civil Supplies - FCS,Kodagu,Not Applicable
"Kodagu - Joint Director office, Commerce and Industries department, Madikeri",Kodagu,Not Applicable
Kodagu - Karnataka Maharshi Valmiki Scheduled Tribes Development Corporation Ltd,Kodagu,Not Applicable
Kodagu-LABOUR,Kodagu,Not Applicable
Kodagu-Madikeri-Rural Development and Panchayat Raj-RDPR(T.P),Kodagu,Madikeri
Kodagu-Office of the Assistant Director Department of Agricultural Marketing,Kodagu,Not Applicable
Kodagu - Office of the Deputy Director (Administration) School Education and Literacy Department,Kodagu,Not Applicable
"Kodagu - Office of The Deputy Director, Department of Animal Husbandary and Veterinary Services",Kodagu,Not Applicable
"Kodagu - Office of The Deputy Director, Department of Pre University Education",Kodagu,Not Applicable
"Kodagu- Office of the Deputy Director, Department of Social Welfare",Kodagu,Not Applicable
"Kodagu - Office of The Deputy Director, Department of Tourism",Kodagu,Not Applicable
"Kodagu- Office of The Deputy Director, Department of Women and Child Development",Kodagu,Not Applicable
"Kodagu - Office of the Deputy Director, District Treasury, Madikeri",Kodagu,Not Applicable
"Kodagu - Office of The Deputy Director, Fisheries Department(Madikeri)",Kodagu,Not Applicable
"Kodagu - Office of The District Health and Family Welfare Officer, Madikeri",Kodagu,Not Applicable
"Kodagu- Office of the District Officer, Backward Class Welfare Department",Kodagu,Not Applicable
"Kodagu - Office of The District officer, Minority Welfare Department",Kodagu,Not Applicable
